room_cellplan                            	Cell (Planned)
buildtoolbar_popup_room_cellplan         	Plan where your prisoners will live.
room_holdingcellplan                     	Holding Cell (Planned)
buildtoolbar_popup_room_holdingcellplan  	Plan where your new recruits end up until a cell is found for them.
room_solitaryplan                        	Solitary (Planned)
buildtoolbar_popup_room_solitaryplan	 	Plan where you will isolate your inmates.
room_canteenplan                         	Canteen (Planned)
buildtoolbar_popup_room_canteenplan	 		Plan where your prisoners will get their afternoon tea.
room_kitchenplan                         	Kitchen (Planned)
buildtoolbar_popup_room_kitchenplan	 		Plan where your cooks will prepare food.
room_showerplan                          	Shower (Planned)
buildtoolbar_popup_room_showerplan	 		Plan where your prisoners will become squeaky clean again. Just to get messy again, the moment they turn off the water.
room_yardplan                            	Yard (Planned)
buildtoolbar_popup_room_yardplan	 		Plan the area where your prisoners can see the sun under the watchful eye of your sniper towers.
room_executionplan                       	Execution (Planned)
buildtoolbar_popup_room_executionplan	 	Plan where you will send your prisoners to hell.
room_workshopplan                        	Workshop (Planned)
buildtoolbar_popup_room_workshopplan	 	Plan where your prisoners will die of boredom while you exploit them to produce items that you sell for a profit. It's like modern day slavery!
room_securityplan                        	Security (Planned)
buildtoolbar_popup_room_securityplan	 	Offices for your Officers.
room_officeplan                          	Office (Planned)
buildtoolbar_popup_room_officeplan	 		Plan where your administrative staff will work. They need to work somewhere peaceful. Oh, and they also prefer to be indoors.
room_medicalwardplan                    	Infirmary (Planned)
buildtoolbar_popup_room_medicalwardplan  	Plan where your doctors will work.
room_morgueplan                          	Morgue (Planned)
buildtoolbar_popup_room_morgueplan	 		Plan where dead prisoners and staff will be carried to when, not if, they die.
room_commonroomplan                      	Common Room (Planned)
buildtoolbar_popup_room_commonroomplan	 	Plan where prisoners can relax.
room_laundryplan                         	Laundry (Planned)
buildtoolbar_popup_room_laundryplan	 		Plan where your prisoners will slave to clean their rags-err clothes.
room_visitationplan                      	Visitation (Planned)
buildtoolbar_popup_room_visitationplan 	 	Plan where family will visit.
room_cleaningplan               	 		Cleaning Cupboard (Planned)
buildtoolbar_popup_room_cleaningplan	 	Clean, clean, and clean. Plan where cleaning supplies will be stored.
room_kennelplan                          	Kennel (Planned)
buildtoolbar_popup_room_kennelplan	 		Every prison needs man's best friend. Or in this case, enemy.
room_armouryplan                         	Armoury (Planned)
buildtoolbar_popup_room_armouryplan	 		Plan where to keep the guns. Preferably, behind a locked door.
room_staffroomplan                       	Staffroom (Planned)
buildtoolbar_popup_room_staffroomplan	 	Plan where staff will take a well-deserved coffee break.
room_libraryplan                         	Library (Planned)
buildtoolbar_popup_room_libraryplan	 		Plan where discarded books will go.
room_forestryplan                        	Forestry (Planned)
buildtoolbar_popup_room_forestryplan	 	Plan where trees will be grown and then copped down.
room_classroomplan                       	Classroom (Planned)
buildtoolbar_popup_room_classroomplan	 	For a different kind of foundation.
room_chapelplan                          	Chapel (Planned)
buildtoolbar_popup_room_chapelplan	 		Plan where inmates will practice religion.
room_paroleplan                          	Parole Room (Planned)
buildtoolbar_popup_room_paroleplan	 		A chance to have freedom early? Your prisoners will want this. Badly.
room_intakeplan                          	Reception (Planned)
buildtoolbar_popup_room_intakeplan	 		Plan where your prisoners will be taken once they arrive.
room_mailplan                            	Mail Room (Planned)
buildtoolbar_popup_room_mailplan	 		Plan where the mail will go.
room_shopplan                            	Shop (Planned)
buildtoolbar_popup_room_shopplan	 		Plan where your prisoners will spend their extra money.
room_familyplan				 				Family Cell (Planned)
buildtoolbar_popup_room_familyplan	 		You have to house the extended family somewhere. But where? That's for you to figure out. Here's the template.
room_nurseryplan                         	Nursery (Planned)
buildtoolbar_popup_room_nurseryplan      	Plan where babies will live.
room_dormplan				 				Dormitory (Planned)
buildtoolbar_popup_room_dormplan	 		We call them "group" cells.
room_gymplan				 				Gymnasium (Planned)
buildtoolbar_popup_room_gymplan	    		Plan where your prisoners will get buff.
room_utilityplan						 	Utilities
buildtoolbar_popup_room_utilityplan 		You know, the room where all the high voltage stuff goes and the room that you didn't forget to set to staff only.
room_mincellblockplan						Minimum Security Cell Block (Planned)
buildtoolbar_popup_room_mincellblockplan	Plan a minimum security cell block.
room_medcellblockplan						Medium Security Cell Block (Planned)
buildtoolbar_popup_room_medcellblockplan	Plan a medium security cell block.
room_maxcellblockplan						Maximum Security Cell Block (Planned)
buildtoolbar_popup_room_maxcellblockplan	Plan a maximum security cell block.
room_supercellblockplan						Super Max Security Cell Block (Planned)
buildtoolbar_popup_room_supercellblockplan	Plan a super max cell block.
room_deathcellblockplan						Death Row Cell Block (Planned)
buildtoolbar_popup_room_deathcellblockplan	Plan a death row cell block.
room_protectivecellblockplan				Protective Custody Cell Block (Planned)
buildtoolbar_popup_room_protectivecellblockplan	Plan a protective custody cell block.
